"aphiaID";"kingdom";"phylum";"class";"order";"family";"genus"
265211;"Animalia";"Ctenophora";"Tentaculata";"Lobata";"Ocyropsidae";"Ocyropsis"
126170;"Animalia";"Chordata";"Teleostei";"Perciformes";"Scorpaenidae";"Pontinus"
292482;"Animalia";"Cnidaria";"Hydrozoa";"Siphonophorae";"Prayidae";"Rosacea"
220919;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Pontellidae";"Calanopia"
275762;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Labridae";"Halichoeres"
425866;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Porcellanidae";"Pachycheles"
999912;"Animalia";"Arthropoda";"Arachnida";"Sarcoptiformes";"Acaridae";"Tyrophagus"
1647519;"Plantae";"Rhodophyta";"Florideophyceae";"Gelidiales";"Gelidiaceae";"Gelidiorariphycus"
135085;"Animalia";"Cnidaria";"Hexacorallia";"Scleractinia";"Caryophylliidae";"Caryophyllia"
135426;"Animalia";"Cnidaria";"Hydrozoa";"Siphonophorae";"Diphyidae";"Lensia"
493878;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Callithamniaceae";NA
143834;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Ceramiaceae";"Ceramium"
105796;"Animalia";"Chordata";"Elasmobranchii";"Carcharhiniformes";"Carcharhinidae";"Carcharhinus"
1526722;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Paracalanidae";"Bestiolina"
276231;"Animalia";"Chordata";"Teleostei";"Syngnathiformes";"Fistulariidae";"Fistularia"
158785;"Animalia";"Chordata";"Teleostei";"Gobiesociformes";"Gobiesocidae";"Gobiesox"
106673;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";NA;NA
107060;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Palinuridae";"Panulirus"
498199;"Plantae";"Rhodophyta";"Florideophyceae";"Rhodymeniales";"Lomentariaceae";"Ceratodictyon"
158922;"Animalia";"Chordata";"Teleostei";"Lampriformes";"Trachipteridae";"Desmodema"
276524;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Lutjanidae";"Lutjanus"
241343;"Animalia";"Echinodermata";"Asteroidea";"Paxillosida";"Luidiidae";"Luidia"
375455;"Plantae";"Rhodophyta";"Florideophyceae";"Gelidiales";"Gelidiaceae";"Gelidium"
133445;"Animalia";"Porifera";"Demospongiae";"Poecilosclerida";"Crambeidae";"Crambe"
139031;"Animalia";"Mollusca";"Gastropoda";"Pteropoda";"Cavoliniidae";"Cavolinia"
1738999;"Protozoa";"Amoebozoa";"Discosea";"Dactylopodida";"Vexilliferidae";"Neoparamoeba"
276668;"Animalia";"Chordata";"Teleostei";"Ovalentaria incertae sedis";"Pomacentridae";"Stegastes"
268375;"Animalia";"Chordata";"Teleostei";"Gobiesociformes";"Gobiesocidae";"Arcos"
548183;"Animalia";"Mollusca";"Cephalopoda";"Oegopsida";"Pyroteuthidae";"Pterygioteuthis"
398598;"Animalia";"Chordata";"Teleostei";"Scombriformes";"Chiasmodontidae";"Pseudoscopelus"
135406;"Animalia";"Cnidaria";"Hydrozoa";"Siphonophorae";"Abylidae";"Ceratocymba"
